H_Copper (mm),H_leg (mm),Width_leg_p (mm),Width_leg_n (mm),Delta_T (K),Power Output (Watts),Voltage (V),Effeciency,rho_c
1.481818182,1.963636364,0.290909091,0.290909091,426,0.000696428,0.006964279,0.000401533,0.394155372
1.654545455,1.963636364,0.461818182,1.829090909,493,0.006196252,0.061962522,0.050459295,0.625721653
1.654545455,1.704545455,0.974545455,0.290909091,416,0.006908182,0.06908182,0.114891828,1.146198348
0.618181818,2.481818182,1.487272727,0.12,497,0.0067862,0.067861998,0.246356922,2.546886942
1.136363636,2.481818182,0.632727273,0.290909091,442,0.006487789,0.064877891,0.09579236,1.083516695
1.481818182,2.481818182,0.974545455,0.974545455,455,0.006670828,0.066708283,0.155984878,1.668864794
0.445454545,0.409090909,0.632727273,2,498,0.006072012,0.060720124,0.013830968,0.178601653
2,2.481818182,0.290909091,1.658181818,471,0.006872171,0.068721705,0.049415821,0.498168595
0.618181818,3,0.290909091,0.12,435,0.000654277,0.00654277,0.000541443,0.602181818
0.963636364,0.668181818,1.145454545,0.12,469,0.006270146,0.06270146,0.043609261,0.528106611
2,0.668181818,1.658181818,2,349,0.006300855,0.063008551,0.063749487,0.76449719
1.136363636,3,1.145454545,0.12,476,0.006988075,0.069880754,0.243200906,2.371090908
1.654545455,0.409090909,0.461818182,1.316363636,410,0.000625726,0.00625726,0.000107204,0.130358678
0.790909091,0.927272727,1.829090909,0.974545455,417,0.006087695,0.060876948,0.091096026,1.170285619
1.309090909,0.927272727,1.829090909,0.290909091,439,0.006475254,0.064752536,0.103064061,1.170285619
0.445454545,1.186363636,1.658181818,2,430,0.000633844,0.006338444,0.001145424,1.357372562
0.790909091,0.409090909,1.316363636,1.487272727,495,0.006790924,0.067909236,0.035991861,0.371573553
0.963636364,1.704545455,0.803636364,1.658181818,347,0.00611417,0.061141703,0.074215418,0.945185951
0.963636364,1.963636364,0.974545455,0.974545455,422,0.000608434,0.006084342,0.001026695,1.320420497
0.445454545,3,1.487272727,0.12,467,0.006909842,0.069098421,0.308744354,3.078654545
2,0.15,1.487272727,1.316363636,432,0.006622216,0.066222163,0.014178801,0.153932727
0.790909091,1.704545455,0.12,1.145454545,349,0.006113527,0.061135272,0.011079609,0.141136364
1.309090909,2.481818182,0.803636364,1.487272727,403,0.006815582,0.068155817,0.134272263,1.376190745
2,1.963636364,0.290909091,2,414,0.006129339,0.061293386,0.031102586,0.394155372
1.481818182,1.963636364,2,1.658181818,413,0.006897627,0.06897627,0.270795462,2.709818182
1.481818182,1.963636364,1.829090909,1.658181818,474,0.0068105,0.068104999,0.241437791,2.478251901
0.963636364,0.15,0.290909091,0.974545455,438,0.00621325,0.062132496,0.002441389,0.030109091
2,2.222727273,1.316363636,1.829090909,496,0.006645749,0.066457489,0.187284062,2.018882975
1.309090909,1.445454545,1.829090909,1.829090909,443,0.000614046,0.006140456,0.001444747,1.82426876
1.827272727,3,0.632727273,0.632727273,485,0.006487014,0.064870139,0.115765293,1.309745455
1.827272727,0.409090909,0.461818182,1.658181818,455,0.006034132,0.060341319,0.009969454,0.130358678
1.827272727,0.927272727,1.316363636,1.316363636,442,0.000622128,0.006221277,0.000684689,0.842233388
0.272727273,3,1.316363636,2,416,0.006932109,0.069321094,0.275029232,2.724872727
1.481818182,2.481818182,0.632727273,0.974545455,499,0.006695292,0.066952916,0.102017909,1.083516695
1.827272727,2.481818182,1.487272727,2,403,0.000641397,0.006413972,0.002200724,2.546886942
1.136363636,1.704545455,0.803636364,0.803636364,368,0.0062083,0.062083001,0.076518153,0.945185951
2,0.409090909,1.145454545,0.974545455,490,0.006258966,0.062589655,0.026604415,0.323330578
0.618181818,0.15,0.290909091,1.829090909,497,0.006105421,0.061054208,0.002357386,0.030109091
1.654545455,2.740909091,1.487272727,0.290909091,465,0.006657209,0.066572094,0.261830714,2.812770743
1.827272727,1.445454545,1.316363636,0.974545455,402,0.006587829,0.065878287,0.119678413,1.312893223
0.963636364,1.186363636,0.461818182,0.632727273,451,0.006570485,0.065704854,0.034279515,0.378040166
1.136363636,1.445454545,0.974545455,0.290909091,422,0.006327905,0.063279052,0.081748045,0.971976198
1.827272727,0.927272727,1.487272727,1.829090909,420,0.000664799,0.006647989,0.000883343,0.951584132
1.654545455,0.15,0.461818182,0.461818182,454,0.006590391,0.065903907,0.004360492,0.047798182
1.136363636,2.222727273,0.974545455,0.632727273,412,0.000688762,0.006887618,0.001489283,1.494642646
0.963636364,0.927272727,0.461818182,0.12,404,0.000685891,0.006858909,0.000291971,0.295479669
0.790909091,1.445454545,0.461818182,0.461818182,351,0.006860781,0.068607814,0.045537957,0.460600661
1.309090909,1.963636364,0.290909091,1.658181818,426,0.0061247,0.061247,0.031055528,0.394155372
1.309090909,0.927272727,0.290909091,0.632727273,495,0.006592456,0.065924557,0.016990655,0.186128926
1.309090909,0.15,0.632727273,0.290909091,406,0.000679785,0.006797851,6.36E-05,0.065487273
1.481818182,0.15,0.461818182,0.290909091,404,0.000566642,0.00566642,3.22E-05,0.047798182
1.654545455,3,1.658181818,1.145454545,418,0.000643136,0.006431362,0.002982018,3.432436363
0.618181818,3,0.290909091,1.658181818,463,0.006188682,0.061886815,0.048442408,0.602181818
0.445454545,1.186363636,0.632727273,1.829090909,424,0.005251469,0.052514694,0.030001776,0.517944793
1.481818182,2.481818182,1.145454545,0.974545455,458,0.006039094,0.060390937,0.150259613,1.961538842
1.309090909,0.15,1.487272727,1.487272727,481,0.006664555,0.066645548,0.014360682,0.153932727
0.790909091,3,0.12,1.829090909,423,0.000676555,0.006765545,0.000238814,0.2484
0.963636364,2.740909091,2,0.461818182,498,0.005306633,0.053066333,0.223724575,3.782454546
0.963636364,0.668181818,1.316363636,1.487272727,437,0.006265785,0.062657846,0.050046345,0.60690347
0.963636364,2.222727273,2,1.829090909,465,0.005637268,0.056372676,0.204740795,3.067363637
0.790909091,2.481818182,0.974545455,1.487272727,433,0.005208871,0.05208871,0.095106495,1.668864794
0.790909091,0.927272727,1.145454545,1.658181818,406,0.006213933,0.06213933,0.059438712,0.732882644
1.654545455,2.740909091,1.487272727,0.461818182,471,0.006336566,0.063365661,0.237216063,2.812770743
1.136363636,2.740909091,1.829090909,1.658181818,468,0.005769823,0.057698233,0.241883285,3.459226612
0.790909091,3,0.461818182,0.974545455,464,0.006198014,0.061980141,0.077134436,0.955963637
1.309090909,1.445454545,0.632727273,0.632727273,446,0.005381722,0.053817215,0.038389667,0.631059174
2,2.740909091,2,1.145454545,401,0.006861394,0.068613944,0.374024718,3.782454546
0.445454545,2.740909091,0.290909091,0.632727273,419,0.005020841,0.050208414,0.02913103,0.550175207
1.481818182,0.409090909,1.487272727,0.461818182,443,0.000662783,0.006627827,0.00038735,0.419816529
0.790909091,2.740909091,2,0.461818182,405,0.000589584,0.005895838,0.002761637,3.782454546
1.481818182,0.927272727,0.461818182,1.829090909,401,0.005307826,0.05307826,0.017484885,0.295479669
1.481818182,1.963636364,0.803636364,2,404,0.000661558,0.006615577,0.001000938,1.088854216
