LHT (mm),HIC (mm),w_p (mm),w_n (mm),FF,rho_c,Th (K),"Electric potential (V), Voc","Electric potential (V), Vn", PDmax, flux (W)
1.455525998,2.088308367,1.996954699,2.608461274,0.33779956,2.74E-08,313.4345674,0.030838049,-0.027281879,65.64499334,0.992693042
1.318212352,0.991217417,2.764442375,4.403054771,0.357787225,5.61E-09,310.8230936,0.034060782,-0.024085128,67.85163311,2.522845241
1.325320294,1.029364655,0.563358485,4.3193861,0.859626695,4.37E-08,417.2935544,0.021271441,-0.03695138,1.569851791,1.274249188
1.869090093,0.603743314,0.531309143,2.801838009,0.717631618,1.13E-09,477.4592021,0.0089665,-0.049526029,0.41032141,0.398905698
2.861403942,1.305168838,1.580569792,3.680094688,0.924964671,1.61E-09,405.6964002,-0.011620641,-0.011621833,2.014303324,0.591759971
2.443752584,1.899361653,0.953632387,1.367384047,0.589164359,2.10E-08,475.5638345,0.015318896,-0.043085833,8.565484917,0.146950689
1.810531131,2.644837285,1.670951156,3.597785172,0.267542359,3.82E-09,462.1982546,0.033235817,-0.024925176,29.64031342,0.951487039
3.253338026,2.167318619,1.296694825,1.725730607,0.344889527,7.99E-08,315.1707572,0.035705816,-0.022751352,38.48938415,0.191446099
1.127722373,1.588490808,0.628340112,4.244279435,0.337852331,7.45E-09,340.3914949,0.029621212,-0.028489301,4.586600253,1.458932966
1.814650918,2.882800286,4.591868659,0.876758599,0.343844895,7.22E-09,431.5421338,0.042459826,-0.015564201,175.9917046,2.511418195
2.148628295,2.298113001,0.537004091,3.979124028,0.655667756,2.27E-08,388.7002765,0.023547749,-0.034736196,1.2689805,0.669474531
2.552314929,2.825413007,3.81236965,0.94971608,0.527727135,3.43E-08,358.1399627,0.044235477,-0.013950833,153.6794599,1.25192134
4.033291826,1.818969933,1.184665491,4.465351566,0.39688176,8.94E-09,383.7267712,0.031274174,-0.027223816,4.379303931,0.506401307
1.39853202,1.147260687,4.605033299,1.868920332,0.184180792,2.68E-09,389.0399293,0.038065438,-0.02007871,219.2993468,3.461331139
2.814054973,0.632066716,4.517581728,3.444770142,0.069925247,3.52E-08,482.1104502,1.83E-04,-0.058258657,0.001985737,1.934636439
3.16586556,2.315212129,3.442555159,2.693760254,0.24695121,4.37E-09,320.6916567,0.040385903,-0.017983269,85.23179135,1.006151309
0.709026857,0.803257495,3.525053674,2.148364154,0.146724264,2.24E-09,355.9461494,0.039579795,-0.018313553,418.490422,4.292742953
3.233951834,1.256937821,0.524026139,3.404488249,0.756900528,1.83E-08,407.5129633,0.033891824,-0.024616585,2.259592526,0.330976305
1.267358557,1.83117727,4.931922048,4.763853412,0.151248162,1.52E-09,439.6573853,0.03616956,-0.021681288,141.9725147,5.635177206
0.792732168,1.911041469,4.450246716,0.685713863,0.701805414,8.76E-08,426.1274578,0.044037728,-0.0130026,372.5425485,5.27763834
4.769984918,2.001457992,4.527978016,4.634837851,0.397092821,1.84E-08,488.3285475,0.032673584,-0.025777077,29.50929198,1.321399983
4.845344149,0.915638326,3.466600417,3.240867448,0.116040551,9.37E-08,459.121785,0.037533871,-0.021019106,41.70297003,0.726538541
4.137788067,1.449343512,2.051541179,4.132914353,0.781457044,4.76E-09,411.4153684,0.028534489,-0.029946769,10.64929713,0.580079883
1.870761961,2.042985568,4.521418921,2.22743729,0.571667513,8.76E-08,342.9365383,0.039415706,-0.018651633,170.8133451,2.567754238
0.939524513,2.924547162,1.811826177,2.623293387,0.262185362,1.95E-09,390.1748463,0.03319866,-0.024419162,103.1673753,1.369898926
3.579048619,2.319077844,3.032201945,4.409828383,0.855213057,1.21E-09,438.6764488,0.03572252,-0.022607182,31.20091997,1.026798062
2.480686222,2.806509393,0.948789376,2.366815864,0.090732482,1.16E-09,467.592435,0.028417559,-0.029931046,12.3547886,0.274685305
1.049172057,2.405530146,4.648800336,2.90596805,0.231637647,8.51E-09,491.9472449,0.038106188,-0.019496931,259.6794976,5.036522362
2.728296096,1.979292422,1.13346706,0.590877154,0.726842235,1.47E-09,421.0905532,0.035996319,-0.022375037,96.29306683,0.112714104
0.654748345,0.980058423,1.512035626,1.213691026,0.688440137,1.06E-08,405.3838735,0.035732922,-0.022171241,317.0845583,0.939305375
4.591941809,2.16671413,3.011603712,3.387589286,0.310344524,4.52E-09,303.5383846,0.035958002,-0.022519754,33.67851229,0.644926343
1.664509917,2.058448915,3.938418501,3.726396055,0.105822388,4.69E-09,314.4198138,0.035435659,-0.022657451,106.2328969,2.718606408
