LHT (mm),HIC (mm),w_p (mm),w_n (mm),FF,rho_c,Th (K),"Electric potential (V), Voc","Electric potential (V), Vn",PDmax,flux (W),A,Qin_per_A,efficiency,V_diff
2.113095778,1.708745213,0.755782568,0.845822578,0.757664536,6.34e-09,370.303325,0.035995326,-0.022372349,73.79197811,0.087767347,1.2866231235472407e-06,68215.27251742841,0.0010817515695058873,0.058367675
1.021410768,1.57287373,4.903225091,2.268249977,0.421573344,4.63e-09,427.4927258,0.0397413,-0.017961603,321.7570223,5.413714625,2.918657425117246e-05,185486.46985462928,0.001734665728191224,0.057702903
4.383965416,0.687239605,3.147951004,3.51466854,0.676877714,4.06e-08,492.3033613,0.043343184,-0.015206939,51.68799996,0.735751569,2.2262490469650338e-05,33048.93358642978,0.0015639838975386364,0.058550122999999996
3.304841571,0.765400884,3.006284412,2.614504586,0.506492314,7.06e-08,495.2419212,0.035877402,-0.022646636,59.52888631,0.772500535,1.5873380196049216e-05,48666.41669631718,0.001223202576870732,0.058524038
1.989041112,2.593681299,3.45108326,2.226749786,0.267100813,3.3e-08,441.4412293,0.036852507,-0.021301843,126.8227024,1.498228323,1.6868390276903272e-05,88818.68977453178,0.0014278830584186983,0.05815435
0.786012576,1.099549881,2.736606415,1.036206705,0.766535457,7.55e-09,450.9212731,0.044956561,-0.012731814,548.8033162,2.143391082,8.562739006106108e-06,250316.05897032982,0.0021924415015860017,0.057688375
1.899420448,0.987395679,0.644285827,1.602225706,0.125792109,1.02e-08,412.6804352,0.036042597,-0.022437882,26.09974826,0.165138207,2.9822314398402726e-06,55374.041328209176,0.00047133544227526,0.058480479
1.963324949,1.762278628,3.2554008,0.950644795,0.522401254,1.78e-09,451.1551478,0.043250111,-0.014994865,199.1195293,1.199260189,1.1501359894901231e-05,104271.16445001036,0.0019096317793157649,0.058244976000000004
3.783227803,2.421867828,3.722782446,4.133744292,0.238001931,3.12e-08,471.955931,0.036341736,-0.022047101,42.30121752,1.183687957,3.094695101188833e-05,38248.936269853664,0.0011059449397901346,0.058388837
3.369008621,0.654866296,2.375370773,1.108579226,0.110359066,1.56e-08,397.2190606,0.036111057,-0.022460532,80.63311435,0.394686417,6.8713342095413765e-06,57439.56049349885,0.0014037905871359558,0.058571589
